"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2020年2月15日","264.87","285.17","287.93","262.45","22.26M","-7.15%"
"2020年2月14日","285.25","268.71","286.34","260.78","19.99M","6.14%"
"2020年2月13日","268.75","265.59","277.39","257.09","25.05M","1.19%"
"2020年2月12日","265.58","236.75","274.89","236.73","23.79M","12.18%"
"2020年2月11日","236.76","222.94","238.61","218.22","17.39M","6.19%"
"2020年2月10日","222.95","228.61","229.28","217.02","16.50M","-2.47%"
"2020年2月9日","228.59","223.23","230.38","223.07","14.28M","2.40%"
"2020年2月8日","223.23","223.47","227.55","213.75","15.98M","-0.13%"
"2020年2月7日","223.51","213.15","224.53","213.14","16.73M","4.86%"
"2020年2月6日","213.16","203.84","216.14","201.29","16.44M","4.58%"
"2020年2月5日","203.83","188.94","207.51","188.26","14.67M","7.89%"
"2020年2月4日","188.93","189.80","191.48","188.93","11.56M","-0.45%"
"2020年2月3日","189.79","188.48","194.92","187.16","11.95M","0.69%"
"2020年2月2日","188.50","183.58","193.25","179.49","14.54M","2.65%"
"2020年2月1日","183.64","179.88","184.17","179.36","13.24M","2.08%"
"2020年1月31日","179.91","184.60","185.67","175.46","11.77M","-2.54%"
"2020年1月30日","184.59","173.86","186.76","171.20","13.02M","6.17%"
"2020年1月29日","173.86","175.78","178.41","173.76","11.27M","-1.07%"
"2020年1月28日","175.74","170.27","176.06","170.27","12.63M","3.21%"
"2020年1月27日","170.27","167.91","171.97","165.45","12.54M","1.41%"
"2020年1月26日","167.90","160.40","168.00","159.55","9.82M","4.65%"
"2020年1月25日","160.44","162.56","162.72","157.87","9.63M","-1.29%"
"2020年1月24日","162.55","162.80","164.27","155.65","14.88M","-0.15%"
"2020年1月23日","162.80","168.15","168.25","159.78","14.86M","-3.17%"
"2020年1月22日","168.13","169.41","171.27","166.19","11.30M","-0.76%"
"2020年1月21日","169.41","166.87","169.79","165.53","11.52M","1.52%"
"2020年1月20日","166.87","166.92","169.24","161.61","11.30M","-0.03%"
"2020年1月19日","166.92","174.17","177.77","162.04","15.84M","-4.17%"
"2020年1月18日","174.19","170.18","179.29","165.34","17.42M","2.33%"
"2020年1月17日","170.22","164.39","173.96","162.33","18.57M","3.57%"
"2020年1月16日","164.36","166.44","167.18","159.08","16.24M","-1.26%"
"2020年1月15日","166.45","166.07","166.45","159.74","16.66M","0.23%"
"2020年1月14日","166.07","143.59","169.73","143.59","22.85M","15.65%"
"2020年1月13日","143.60","146.50","146.87","142.64","10.26M","-1.95%"
"2020年1月12日","146.46","142.65","146.46","142.00","10.01M","2.66%"
"2020年1月11日","142.67","144.81","147.68","142.23","12.46M","-1.48%"
"2020年1月10日","144.81","137.93","144.86","135.69","13.37M","4.99%"
"2020年1月9日","137.92","140.80","141.60","135.85","11.38M","-2.05%"
"2020年1月8日","140.81","143.01","147.55","137.61","13.71M","-1.56%"
"2020年1月7日","143.04","144.09","145.13","139.22","13.58M","-0.73%"
"2020年1月6日","144.08","135.59","144.27","135.17","14.36M","6.26%"
"2020年1月5日","135.59","134.32","138.33","134.32","12.19M","0.94%"
"2020年1月4日","134.33","134.30","135.57","132.76","11.16M","0.04%"
"2020年1月3日","134.27","127.19","134.86","126.05","15.67M","5.56%"
"2020年1月2日","127.19","130.75","130.77","126.74","11.45M","-2.72%"
"2020年1月1日","130.75","129.21","132.97","128.81","10.35M","1.19%"
"2019年12月31日","129.21","131.87","133.53","128.27","12.89M","-1.99%"
"2019年12月30日","131.83","134.40","136.16","130.91","12.47M","-1.91%"
"2019年12月29日","134.40","128.35","137.74","127.67","15.69M","4.71%"
"2019年12月28日","128.35","126.40","129.73","125.98","12.13M","1.54%"
"2019年12月27日","126.41","125.92","127.04","123.18","12.25M","0.38%"
"2019年12月26日","125.93","125.24","132.12","124.53","15.55M","0.55%"
"2019年12月25日","125.24","128.05","128.17","124.18","13.23M","-2.20%"
"2019年12月24日","128.05","128.07","129.77","127.07","11.44M","-0.02%"
"2019年12月23日","128.08","132.20","134.92","126.55","14.73M","-3.11%"
"2019年12月22日","132.19","127.61","133.04","127.09","13.67M","3.59%"
"2019年12月21日","127.61","128.69","128.79","126.85","9.64M","-0.85%"
"2019年12月20日","128.70","128.42","129.66","126.31","12.29M","0.22%"
"2019年12月19日","128.42","132.93","133.90","126.12","14.22M","-3.39%"
"2019年12月18日","132.92","122.06","133.93","117.14","20.23M","8.89%"
"2019年12月17日","122.06","132.78","132.96","120.63","17.04M","-8.07%"
"2019年12月16日","132.78","142.55","142.75","131.00","17.60M","-6.84%"
"2019年12月15日","142.53","142.03","143.87","140.30","11.31M","0.35%"
"2019年12月14日","142.03","144.95","145.17","141.40","11.15M","-2.02%"
"2019年12月13日","144.96","145.04","145.43","143.51","10.95M","-0.05%"
"2019年12月12日","145.03","143.51","145.82","140.00","12.23M","1.06%"
"2019年12月11日","143.51","145.88","146.57","142.53","10.93M","-1.61%"
"2019年12月10日","145.86","147.88","148.48","144.49","11.12M","-1.37%"
"2019年12月9日","147.88","151.17","151.75","147.02","9.67M","-2.18%"
"2019年12月8日","151.17","148.25","152.22","147.09","9.28M","1.95%"
"2019年12月7日","148.28","148.88","149.76","147.54","8.11M","-0.41%"
"2019年12月6日","148.89","148.70","149.36","147.01","8.77M","0.13%"
"2019年12月5日","148.69","145.79","149.08","144.64","9.99M","1.99%"
"2019年12月4日","145.79","147.81","151.02","143.95","12.85M","-1.37%"
"2019年12月3日","147.82","148.89","149.84","146.56","8.73M","-0.72%"
"2019年12月2日","148.89","151.06","151.63","147.49","9.18M","-1.43%"
"2019年12月1日","151.04","151.93","152.33","146.26","9.91M","-0.60%"
"2019年11月30日","151.95","154.57","155.19","150.45","8.79M","-1.68%"
"2019年11月29日","154.55","151.07","157.27","150.64","10.49M","2.30%"
"2019年11月28日","151.07","152.71","154.68","149.71","9.66M","-1.07%"
"2019年11月27日","152.70","147.60","155.43","141.91","13.34M","3.44%"
"2019年11月26日","147.61","145.88","149.81","144.04","10.84M","1.17%"
"2019年11月25日","145.90","140.58","151.26","131.78","17.98M","3.72%"
"2019年11月24日","140.66","152.46","153.24","139.79","11.39M","-7.74%"
"2019年11月23日","152.46","149.79","154.25","146.60","11.84M","1.77%"
"2019年11月22日","149.80","161.46","163.06","139.13","21.12M","-7.22%"
"2019年11月21日","161.46","174.96","175.91","158.55","13.36M","-7.71%"
"2019年11月20日","174.96","176.09","177.42","173.99","8.39M","-0.64%"
"2019年11月19日","176.09","178.49","178.70","173.48","9.11M","-1.35%"
"2019年11月18日","178.50","184.19","184.33","176.08","9.57M","-3.09%"
"2019年11月17日","184.18","182.39","185.97","180.49","8.57M","0.97%"
"2019年11月16日","182.42","180.19","183.46","179.53","7.62M","1.24%"
"2019年11月15日","180.19","185.24","186.10","178.29","11.86M","-2.73%"
