"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2020年1月31日","8,991.51","9,169.91","9,170.22","8,961.59","217.22M","-1.58%"
"2020年1月30日","9,136.09","9,038.92","9,140.69","9,019.72","185.28M","0.38%"
"2020年1月29日","9,101.61","9,141.52","9,153.08","9,067.29","173.46M","0.12%"
"2020年1月28日","9,090.93","9,013.23","9,111.32","8,994.28","154.54M","1.55%"
"2020年1月27日","8,952.18","8,913.16","9,001.44","8,910.97","193.02M","-2.07%"
"2020年1月24日","9,141.47","9,266.35","9,272.37","9,101.44","187.99M","-0.82%"
"2020年1月23日","9,216.98","9,186.14","9,221.13","9,145.23","166.79M","0.31%"
"2020年1月22日","9,188.58","9,212.35","9,242.48","9,179.27","158.72M","0.24%"
"2020年1月21日","9,166.63","9,145.64","9,187.42","9,141.78","187.35M","-0.08%"
"2020年1月17日","9,173.73","9,159.48","9,176.47","9,118.98","200.48M","0.53%"
"2020年1月16日","9,125.00","9,088.08","9,126.07","9,066.31","143.14M","0.99%"
"2020年1月15日","9,035.67","9,039.31","9,078.87","9,008.95","136.69M","0.02%"
"2020年1月14日","9,033.42","9,068.02","9,080.16","9,020.92","154.92M","-0.41%"
"2020年1月13日","9,070.65","9,007.94","9,071.53","8,991.35","140.34M","1.16%"
"2020年1月10日","8,966.64","9,021.88","9,024.87","8,951.83","134.20M","-0.26%"
"2020年1月9日","8,989.63","8,990.04","9,004.55","8,938.53","150.73M","0.87%"
"2020年1月8日","8,912.37","8,845.45","8,953.55","8,834.94","164.57M","0.75%"
"2020年1月7日","8,846.45","8,857.14","8,872.47","8,821.68","151.39M","-0.02%"
"2020年1月6日","8,848.51","8,713.89","8,849.98","8,713.89","142.38M","0.62%"
"2020年1月3日","8,793.90","8,755.17","8,843.65","8,755.17","144.75M","-0.88%"
"2020年1月2日","8,872.22","8,802.22","8,873.63","8,786.90","152.65M","1.59%"
"2019年12月31日","8,733.07","8,681.33","8,735.43","8,674.38","112.90M","0.27%"
"2019年12月30日","8,709.73","8,766.39","8,768.30","8,671.92","103.89M","-0.70%"
"2019年12月27日","8,770.98","8,805.86","8,811.10","8,749.86","101.44M","-0.08%"
"2019年12月26日","8,778.31","8,717.95","8,778.33","8,716.03","92.59M","0.91%"
"2019年12月24日","8,699.51","8,705.30","8,708.23","8,684.12","50.48M","0.04%"
"2019年12月23日","8,696.01","8,703.06","8,710.90","8,690.15","130.53M","0.20%"
"2019年12月20日","8,678.49","8,666.57","8,687.66","8,656.48","465.71M","0.43%"
"2019年12月19日","8,641.29","8,592.68","8,642.74","8,592.68","166.60M","0.71%"
"2019年12月18日","8,580.62","8,587.20","8,608.10","8,578.56","165.63M","0.06%"
"2019年12月17日","8,575.70","8,586.33","8,592.45","8,564.15","155.21M","0.06%"
"2019年12月16日","8,570.33","8,544.26","8,584.78","8,542.42","178.13M","0.97%"
"2019年12月13日","8,487.71","8,461.42","8,517.52","8,441.89","168.75M","0.25%"
"2019年12月12日","8,466.89","8,391.92","8,493.11","8,380.09","189.66M","0.76%"
"2019年12月11日","8,402.61","8,371.65","8,408.08","8,361.37","131.87M","0.58%"
"2019年12月10日","8,354.29","8,364.55","8,392.89","8,339.37","130.55M","-0.10%"
"2019年12月9日","8,362.74","8,388.75","8,425.77","8,359.87","134.36M","-0.41%"
"2019年12月6日","8,397.37","8,370.23","8,405.85","8,365.25","127.30M","1.07%"
"2019年12月5日","8,308.40","8,321.19","8,321.19","8,272.83","125.93M","0.14%"
"2019年12月4日","8,296.53","8,291.86","8,316.45","8,285.88","137.57M","0.51%"
"2019年12月3日","8,254.74","8,201.63","8,258.41","8,167.35","162.29M","-0.66%"
"2019年12月2日","8,309.26","8,409.87","8,409.87","8,274.61","144.81M","-1.12%"
"2019年11月29日","8,403.68","8,422.02","8,435.96","8,402.13","80.47M","-0.49%"
