"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2020年1月31日","9,367.40","9,512.70","9,519.90","9,221.90","4.87K","-1.53%"
"2020年1月30日","9,512.70","9,305.10","9,550.00","9,175.70","9.02K","2.24%"
"2020年1月29日","9,304.20","9,390.90","9,442.00","9,244.40","4.60K","-0.95%"
"2020年1月28日","9,393.70","8,912.10","9,413.00","8,912.10","9.12K","5.41%"
"2020年1月27日","8,912.00","8,622.00","9,001.80","8,585.19","6.28K","3.37%"
"2020年1月26日","8,621.60","8,351.10","8,622.00","8,303.60","3.52K","3.21%"
"2020年1月25日","8,353.70","8,447.10","8,447.20","8,280.00","2.10K","-1.11%"
"2020年1月24日","8,447.10","8,403.57","8,521.81","8,247.70","3.51K","0.52%"
"2020年1月23日","8,403.50","8,668.90","8,669.30","8,296.90","5.70K","-3.01%"
"2020年1月22日","8,663.90","8,734.20","8,799.90","8,580.63","2.35K","-0.80%"
"2020年1月21日","8,734.10","8,638.20","8,782.80","8,512.20","3.25K","1.11%"
"2020年1月20日","8,638.20","8,698.60","8,741.10","8,519.60","4.11K","-0.64%"
"2020年1月19日","8,694.00","8,891.60","9,169.50","8,455.70","12.41K","-2.22%"
"2020年1月18日","8,891.50","8,873.10","8,965.00","8,794.23","3.46K","0.18%"
"2020年1月17日","8,875.40","8,719.55","8,994.90","8,674.20","9.69K","1.78%"
"2020年1月16日","8,720.60","8,810.90","8,839.90","8,579.80","5.31K","-0.99%"
"2020年1月15日","8,807.70","8,760.84","8,873.00","8,560.20","8.78K","0.37%"
"2020年1月14日","8,775.60","8,104.10","8,829.00","8,099.30","16.57K","8.41%"
"2020年1月13日","8,094.54","8,174.90","8,198.30","8,053.60","2.59K","-0.98%"
"2020年1月12日","8,174.70","8,013.63","8,174.70","7,951.70","3.21K","2.01%"
"2020年1月11日","8,013.80","8,184.30","8,271.90","7,994.60","4.25K","-1.99%"
"2020年1月10日","8,176.30","7,817.40","8,177.77","7,678.47","7.86K","4.59%"
"2020年1月9日","7,817.45","8,036.79","8,036.79","7,756.20","4.67K","-2.73%"
"2020年1月8日","8,036.80","8,158.20","8,442.00","7,882.80","11.76K","-1.39%"
"2020年1月7日","8,150.00","7,759.50","8,200.10","7,741.90","12.35K","5.05%"
"2020年1月6日","7,757.90","7,364.70","7,784.90","7,358.00","8.54K","5.34%"
"2020年1月5日","7,364.60","7,370.30","7,509.90","7,315.80","4.45K","-0.07%"
"2020年1月4日","7,369.83","7,371.80","7,422.00","7,297.70","4.27K","0.03%"
"2020年1月3日","7,367.50","6,989.43","7,437.60","6,909.30","6.68K","5.41%"
"2020年1月2日","6,989.40","7,212.70","7,225.20","6,963.00","4.85K","-3.10%"
"2020年1月1日","7,212.70","7,208.20","7,268.80","7,185.40","2.07K","0.06%"
"2019年12月31日","7,208.30","7,261.00","7,333.00","7,161.30","2.99K","-0.72%"
"2019年12月30日","7,260.90","7,413.00","7,421.60","7,217.70","4.09K","-2.12%"
"2019年12月29日","7,417.90","7,333.20","7,551.60","7,311.80","2.49K","1.14%"
"2019年12月28日","7,334.39","7,293.55","7,389.94","7,280.49","2.73K","0.65%"
"2019年12月27日","7,286.96","7,235.28","7,300.00","7,114.10","4.00K","0.75%"
"2019年12月26日","7,232.40","7,220.05","7,464.30","7,189.00","4.72K","0.17%"
"2019年12月25日","7,220.07","7,270.00","7,287.40","7,144.80","3.36K","-0.78%"
"2019年12月24日","7,276.90","7,346.20","7,444.96","7,182.90","4.25K","-0.96%"
"2019年12月23日","7,347.40","7,538.90","7,715.00","7,283.10","7.08K","-2.45%"
"2019年12月22日","7,532.00","7,166.32","7,541.30","7,159.60","3.62K","5.10%"
"2019年12月21日","7,166.40","7,213.00","7,215.10","7,145.20","2.28K","-0.65%"
"2019年12月20日","7,212.93","7,181.77","7,249.00","7,116.80","5.70K","0.43%"
"2019年12月19日","7,181.80","7,326.90","7,412.50","7,089.10","5.43K","-1.93%"
"2019年12月18日","7,323.41","6,667.07","7,480.20","6,479.40","13.75K","9.84%"
"2019年12月17日","6,667.10","6,926.60","6,972.00","6,624.30","12.66K","-3.75%"
"2019年12月16日","6,926.80","7,152.70","7,189.90","6,900.00","13.42K","-3.16%"
"2019年12月15日","7,152.70","7,100.80","7,218.55","7,046.60","3.53K","0.73%"
"2019年12月14日","7,100.80","7,283.10","7,290.50","7,038.50","3.41K","-2.50%"
"2019年12月13日","7,283.15","7,224.10","7,331.90","7,218.70","2.90K","0.82%"
"2019年12月12日","7,224.00","7,231.20","7,325.63","7,133.80","5.64K","-0.09%"
"2019年12月11日","7,230.72","7,254.70","7,296.20","7,170.10","3.12K","-0.33%"
"2019年12月10日","7,254.60","7,373.80","7,433.00","7,207.50","3.64K","-1.69%"
"2019年12月9日","7,379.52","7,563.80","7,701.10","7,309.15","6.56K","-2.45%"
"2019年12月8日","7,564.60","7,543.20","7,620.00","7,433.60","4.30K","0.28%"
"2019年12月7日","7,543.20","7,584.70","7,665.10","7,520.10","1.72K","-0.59%"
"2019年12月6日","7,588.30","7,439.90","7,648.60","7,350.10","5.71K","1.99%"
"2019年12月5日","7,440.00","7,239.30","7,522.82","7,193.70","4.79K","2.79%"
"2019年12月4日","7,238.21","7,336.90","7,887.70","7,134.13","11.72K","-1.33%"
"2019年12月3日","7,336.02","7,350.20","7,453.50","7,288.00","2.30K","-0.19%"
"2019年12月2日","7,350.26","7,450.10","7,467.30","7,209.40","4.63K","-1.34%"
"2019年12月1日","7,450.10","7,599.88","7,600.10","7,288.70","6.33K","-1.97%"
"2019年11月30日","7,599.88","7,796.50","7,849.55","7,495.00","4.97K","-2.52%"
"2019年11月29日","7,796.60","7,460.70","7,916.30","7,450.00","7.28K","4.50%"
"2019年11月28日","7,460.80","7,547.30","7,683.00","7,415.00","4.34K","-1.17%"
"2019年11月27日","7,549.30","7,198.30","7,689.00","6,880.00","13.90K","4.88%"
"2019年11月26日","7,198.30","7,162.80","7,384.71","7,061.20","5.20K","0.42%"
"2019年11月25日","7,168.00","6,965.20","7,413.57","6,619.40","18.52K","2.91%"
"2019年11月24日","6,965.30","7,352.70","7,372.00","6,922.00","8.58K","-5.27%"
"2019年11月23日","7,352.60","7,318.60","7,385.00","7,141.00","4.63K","0.40%"
"2019年11月22日","7,323.00","7,672.50","7,763.31","6,820.10","19.37K","-4.54%"
"2019年11月21日","7,671.10","8,126.40","8,155.90","7,510.07","9.89K","-5.60%"
"2019年11月20日","8,126.40","8,164.90","8,255.00","8,081.01","2.06K","-0.47%"
"2019年11月19日","8,164.90","8,219.50","8,241.90","8,055.20","3.70K","-0.66%"
"2019年11月18日","8,219.50","8,536.70","8,536.78","8,119.00","6.36K","-3.72%"
"2019年11月17日","8,537.30","8,523.40","8,662.90","8,422.02","2.84K","0.16%"
"2019年11月16日","8,523.50","8,494.80","8,553.10","8,442.70","1.53K","0.33%"
"2019年11月15日","8,495.83","8,655.50","8,798.10","8,420.20","5.18K","-1.85%"
"2019年11月14日","8,655.70","8,800.90","8,817.40","8,601.40","3.30K","-1.65%"
"2019年11月13日","8,801.10","8,830.00","8,849.30","8,730.30","1.34K","-0.33%"
"2019年11月12日","8,830.00","8,737.70","8,891.50","8,602.10","3.50K","1.06%"
"2019年11月11日","8,737.71","9,069.70","9,107.30","8,633.40","4.24K","-3.65%"
"2019年11月10日","9,068.40","8,827.10","9,156.90","8,764.00","4.64K","2.72%"
"2019年11月9日","8,828.05","8,782.32","8,891.40","8,735.90","1.96K","0.52%"
"2019年11月8日","8,782.36","9,209.20","9,252.40","8,688.10","7.86K","-4.62%"
"2019年11月7日","9,208.00","9,355.00","9,387.10","9,086.50","3.75K","-1.55%"
"2019年11月6日","9,353.00","9,334.00","9,475.00","9,278.00","3.47K","0.20%"
