"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2020年1月31日","179.91","184.60","185.67","175.46","11.77M","-2.54%"
"2020年1月30日","184.59","173.86","186.76","171.20","13.02M","6.17%"
"2020年1月29日","173.86","175.78","178.41","173.76","11.27M","-1.07%"
"2020年1月28日","175.74","170.27","176.06","170.27","12.63M","3.21%"
"2020年1月27日","170.27","167.91","171.97","165.45","12.54M","1.41%"
"2020年1月26日","167.90","160.40","168.00","159.55","9.82M","4.65%"
"2020年1月25日","160.44","162.56","162.72","157.87","9.63M","-1.29%"
"2020年1月24日","162.55","162.80","164.27","155.65","14.88M","-0.15%"
"2020年1月23日","162.80","168.15","168.25","159.78","14.86M","-3.17%"
"2020年1月22日","168.13","169.41","171.27","166.19","11.30M","-0.76%"
"2020年1月21日","169.41","166.87","169.79","165.53","11.52M","1.52%"
"2020年1月20日","166.87","166.92","169.24","161.61","11.30M","-0.03%"
"2020年1月19日","166.92","174.17","177.77","162.04","15.84M","-4.17%"
"2020年1月18日","174.19","170.18","179.29","165.34","17.42M","2.33%"
"2020年1月17日","170.22","164.39","173.96","162.33","18.57M","3.57%"
"2020年1月16日","164.36","166.44","167.18","159.08","16.24M","-1.26%"
"2020年1月15日","166.45","166.07","166.45","159.74","16.66M","0.23%"
"2020年1月14日","166.07","143.59","169.73","143.59","22.85M","15.65%"
"2020年1月13日","143.60","146.50","146.87","142.64","10.26M","-1.95%"
"2020年1月12日","146.46","142.65","146.46","142.00","10.01M","2.66%"
"2020年1月11日","142.67","144.81","147.68","142.23","12.46M","-1.48%"
"2020年1月10日","144.81","137.93","144.86","135.69","13.37M","4.99%"
"2020年1月9日","137.92","140.80","141.60","135.85","11.38M","-2.05%"
"2020年1月8日","140.81","143.01","147.55","137.61","13.71M","-1.56%"
"2020年1月7日","143.04","144.09","145.13","139.22","13.58M","-0.73%"
"2020年1月6日","144.08","135.59","144.27","135.17","14.36M","6.26%"
"2020年1月5日","135.59","134.32","138.33","134.32","12.19M","0.94%"
"2020年1月4日","134.33","134.30","135.57","132.76","11.16M","0.04%"
"2020年1月3日","134.27","127.19","134.86","126.05","15.67M","5.56%"
"2020年1月2日","127.19","130.75","130.77","126.74","11.45M","-2.72%"
"2020年1月1日","130.75","129.21","132.97","128.81","10.35M","1.19%"
"2019年12月31日","129.21","131.87","133.53","128.27","12.89M","-1.99%"
"2019年12月30日","131.83","134.40","136.16","130.91","12.47M","-1.91%"
"2019年12月29日","134.40","128.35","137.74","127.67","15.69M","4.71%"
"2019年12月28日","128.35","126.40","129.73","125.98","12.13M","1.54%"
"2019年12月27日","126.41","125.92","127.04","123.18","12.25M","0.38%"
"2019年12月26日","125.93","125.24","132.12","124.53","15.55M","0.55%"
