"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2020年2月15日","76.741","82.959","83.359","75.182","11.58M","-7.50%"
"2020年2月14日","82.965","80.597","83.619","78.772","8.69M","2.93%"
"2020年2月13日","80.601","81.194","84.086","77.481","13.61M","-0.73%"
"2020年2月12日","81.190","76.524","82.741","76.507","10.96M","6.10%"
"2020年2月11日","76.524","74.095","77.351","72.730","8.05M","3.27%"
"2020年2月10日","74.100","77.023","77.426","72.362","9.46M","-3.80%"
"2020年2月9日","77.023","76.613","78.372","75.148","7.52M","0.53%"
"2020年2月8日","76.613","74.338","77.760","71.638","9.38M","3.06%"
"2020年2月7日","74.338","73.594","75.420","72.663","8.35M","1.01%"
"2020年2月6日","73.594","72.566","75.007","70.970","9.75M","1.42%"
"2020年2月5日","72.563","68.067","73.382","67.668","8.84M","6.61%"
"2020年2月4日","68.063","69.705","70.452","68.063","7.19M","-2.36%"
"2020年2月3日","69.705","69.959","72.878","68.586","8.88M","-0.35%"
"2020年2月2日","69.953","70.751","73.344","67.924","10.55M","-1.13%"
"2020年2月1日","70.751","68.041","72.714","67.684","12.07M","3.98%"
"2020年1月31日","68.044","67.967","69.762","65.535","12.17M","0.11%"
"2020年1月30日","67.969","59.816","70.141","58.338","14.45M","13.63%"
"2020年1月29日","59.817","60.554","62.387","59.491","7.98M","-1.21%"
"2020年1月28日","60.549","58.574","61.551","57.468","9.03M","3.37%"
"2020年1月27日","58.574","56.255","59.546","55.963","7.60M","4.12%"
"2020年1月26日","56.255","53.269","56.395","52.919","5.43M","5.60%"
"2020年1月25日","53.272","54.390","54.397","52.405","5.06M","-2.06%"
"2020年1月24日","54.390","54.485","55.364","50.870","8.02M","-0.17%"
"2020年1月23日","54.484","58.311","58.363","52.736","7.37M","-6.56%"
"2020年1月22日","58.309","57.597","59.175","57.229","4.25M","1.24%"
"2020年1月21日","57.597","57.200","58.084","56.066","4.50M","0.70%"
"2020年1月20日","57.200","57.670","58.223","55.880","5.47M","-0.84%"
"2020年1月19日","57.681","59.285","62.314","55.804","8.51M","-2.71%"
"2020年1月18日","59.290","61.064","62.391","58.083","8.30M","-2.91%"
"2020年1月17日","61.064","57.630","63.189","56.786","10.61M","5.96%"
"2020年1月16日","57.632","58.184","58.463","54.932","8.17M","-0.94%"
"2020年1月15日","58.180","58.535","58.535","55.378","11.65M","-0.61%"
"2020年1月14日","58.539","49.594","60.711","49.590","15.70M","18.04%"
"2020年1月13日","49.591","51.386","51.493","48.968","6.31M","-3.49%"
"2020年1月12日","51.383","49.436","51.541","48.878","7.54M","3.93%"
"2020年1月11日","49.438","49.050","51.859","47.964","9.34M","0.80%"
"2020年1月10日","49.044","44.779","49.622","43.835","9.45M","9.51%"
"2020年1月9日","44.784","45.375","45.788","43.978","6.20M","-1.30%"
"2020年1月8日","45.374","46.397","48.446","44.345","9.59M","-2.21%"
"2020年1月7日","46.400","45.778","46.654","44.631","9.54M","1.36%"
"2020年1月6日","45.778","43.456","45.778","43.316","8.13M","5.34%"
"2020年1月5日","43.458","42.855","43.458","42.727","7.15M","1.41%"
"2020年1月4日","42.855","42.183","42.893","41.833","6.35M","1.61%"
"2020年1月3日","42.178","39.558","42.321","38.972","7.14M","6.63%"
"2020年1月2日","39.556","41.627","41.780","39.430","5.60M","-4.98%"
"2020年1月1日","41.627","41.288","42.136","41.142","5.44M","0.82%"
"2019年12月31日","41.287","42.425","43.032","41.111","7.30M","-2.68%"
"2019年12月30日","42.425","43.154","44.180","41.871","8.90M","-1.68%"
"2019年12月29日","43.152","42.751","43.698","42.151","10.14M","0.94%"
"2019年12月28日","42.751","41.037","43.774","40.968","9.65M","4.16%"
"2019年12月27日","41.044","40.087","41.044","39.763","8.09M","2.38%"
"2019年12月26日","40.088","40.102","41.688","39.629","7.34M","-0.03%"
"2019年12月25日","40.102","40.381","40.450","39.486","6.83M","-0.69%"
"2019年12月24日","40.381","40.688","41.134","39.826","7.76M","-0.75%"
"2019年12月23日","40.687","41.836","42.595","40.432","9.37M","-2.74%"
"2019年12月22日","41.834","39.678","42.118","39.607","8.91M","5.43%"
"2019年12月21日","39.678","40.098","40.118","39.447","6.02M","-1.04%"
"2019年12月20日","40.097","39.639","40.381","39.303","6.53M","1.15%"
"2019年12月19日","39.639","40.745","41.064","39.118","10.25M","-2.79%"
"2019年12月18日","40.778","36.987","41.450","35.944","17.63M","10.25%"
"2019年12月17日","36.986","39.984","40.136","36.501","15.75M","-7.50%"
"2019年12月16日","39.984","43.472","43.598","39.306","11.06M","-8.02%"
"2019年12月15日","43.472","43.273","44.000","42.931","6.72M","0.46%"
"2019年12月14日","43.273","44.440","44.674","43.236","6.95M","-2.63%"
"2019年12月13日","44.440","43.615","44.557","43.485","7.67M","1.89%"
"2019年12月12日","43.615","44.144","44.324","42.982","8.31M","-1.20%"
"2019年12月11日","44.145","44.109","44.944","43.484","6.13M","0.08%"
"2019年12月10日","44.110","44.490","44.601","43.693","8.42M","-0.86%"
"2019年12月9日","44.490","45.619","45.772","44.141","10.94M","-2.46%"
"2019年12月8日","45.614","45.237","46.161","44.933","9.40M","0.83%"
"2019年12月7日","45.237","45.345","46.267","45.060","10.12M","-0.24%"
"2019年12月6日","45.346","44.799","45.513","44.181","10.76M","1.22%"
"2019年12月5日","44.798","44.716","45.218","43.854","12.49M","0.16%"
"2019年12月4日","44.725","45.158","46.771","44.177","13.79M","-0.95%"
"2019年12月3日","45.156","45.613","46.201","44.665","11.24M","-1.00%"
"2019年12月2日","45.611","47.517","47.707","44.923","11.72M","-4.01%"
"2019年12月1日","47.517","47.523","48.455","45.733","10.57M","-0.01%"
"2019年11月30日","47.523","48.614","48.808","47.025","10.48M","-2.25%"
"2019年11月29日","48.615","46.868","49.254","46.826","11.63M","3.75%"
"2019年11月28日","46.859","47.723","48.014","46.473","10.52M","-1.81%"
"2019年11月27日","47.724","47.023","48.649","44.848","12.34M","1.50%"
"2019年11月26日","47.017","45.605","47.465","45.404","10.77M","3.07%"
"2019年11月25日","45.619","44.210","47.481","42.513","15.29M","3.18%"
"2019年11月24日","44.212","48.182","48.310","43.951","11.83M","-8.24%"
"2019年11月23日","48.180","47.422","48.516","46.293","10.76M","1.60%"
"2019年11月22日","47.423","50.674","51.473","43.989","17.21M","-6.42%"
"2019年11月21日","50.675","55.029","55.327","48.799","12.36M","-7.91%"
"2019年11月20日","55.029","55.145","56.141","54.774","9.74M","-0.21%"
"2019年11月19日","55.143","56.055","56.409","54.305","10.74M","-1.63%"
"2019年11月18日","56.055","59.216","59.315","54.469","11.13M","-5.34%"
"2019年11月17日","59.217","58.285","59.926","57.716","10.60M","1.60%"
"2019年11月16日","58.285","57.758","58.956","57.358","9.73M","0.91%"
"2019年11月15日","57.758","59.181","60.760","56.727","11.67M","-2.41%"
"2019年11月14日","59.187","61.026","61.156","58.768","10.60M","-3.01%"
"2019年11月13日","61.025","61.519","61.986","60.503","10.57M","-0.81%"
"2019年11月12日","61.522","61.892","62.299","60.094","10.97M","-0.60%"
"2019年11月11日","61.893","63.720","64.314","60.889","8.22M","-2.86%"
"2019年11月10日","63.716","62.096","65.384","61.369","10.44M","2.61%"
"2019年11月9日","62.093","60.450","62.363","60.262","6.86M","2.71%"
"2019年11月8日","60.452","61.472","62.490","59.156","10.17M","-1.65%"
"2019年11月7日","61.469","64.200","64.366","60.638","13.39M","-4.25%"
"2019年11月6日","64.199","63.245","64.264","62.715","15.52M","1.52%"
"2019年11月5日","63.238","61.442","64.084","61.226","17.68M","2.92%"
"2019年11月4日","61.443","58.404","62.426","58.010","16.78M","5.22%"
"2019年11月3日","58.398","58.281","58.811","57.272","14.48M","0.20%"
"2019年11月2日","58.281","58.370","59.199","57.835","14.92M","-0.15%"
"2019年11月1日","58.370","58.430","58.793","56.940","14.70M","-0.10%"
"2019年10月31日","58.429","57.986","59.501","57.229","10.57M","0.77%"
"2019年10月30日","57.983","59.797","60.916","57.142","11.38M","-3.03%"
"2019年10月29日","59.796","57.818","60.629","57.777","13.65M","3.41%"
"2019年10月28日","57.822","59.818","62.324","57.579","15.13M","-3.34%"
"2019年10月27日","59.821","56.751","62.446","55.720","16.10M","5.41%"
"2019年10月26日","56.752","56.949","59.383","54.383","21.51M","-0.35%"
"2019年10月25日","56.950","49.615","58.463","49.123","15.99M","14.78%"
"2019年10月24日","49.616","49.505","50.222","48.394","11.23M","0.32%"
"2019年10月23日","49.456","53.407","53.464","47.605","14.98M","-7.40%"
"2019年10月22日","53.407","54.747","55.185","53.160","8.45M","-2.49%"
"2019年10月21日","54.770","54.876","55.603","53.836","8.83M","-0.19%"
"2019年10月20日","54.876","53.739","55.439","52.674","9.07M","2.12%"
"2019年10月19日","53.737","53.217","54.084","52.687","8.67M","0.98%"
"2019年10月18日","53.217","54.948","54.995","52.364","9.88M","-3.15%"
"2019年10月17日","54.947","52.457","55.099","51.641","9.56M","4.74%"
"2019年10月16日","52.458","54.592","55.251","51.398","11.20M","-3.91%"
"2019年10月15日","54.592","56.812","57.312","53.991","10.17M","-3.91%"
"2019年10月14日","56.812","56.477","57.066","56.060","8.11M","0.59%"
"2019年10月13日","56.479","55.737","57.558","55.564","8.12M","1.33%"
"2019年10月12日","55.737","55.816","56.431","55.546","7.59M","-0.14%"
"2019年10月11日","55.815","57.453","58.222","55.444","9.70M","-2.85%"
"2019年10月10日","57.452","59.148","59.318","57.067","8.88M","-2.87%"
"2019年10月9日","59.147","56.986","59.838","56.622","10.52M","3.77%"
"2019年10月8日","56.998","57.482","58.406","56.583","9.25M","-0.84%"
"2019年10月7日","57.483","54.588","58.628","53.576","12.34M","5.31%"
"2019年10月6日","54.585","56.803","56.877","53.534","10.54M","-3.90%"
"2019年10月5日","56.798","56.422","57.197","55.761","8.32M","0.67%"
"2019年10月4日","56.422","56.442","57.401","55.477","10.08M","-0.03%"
"2019年10月3日","56.439","56.290","56.952","54.238","9.49M","0.25%"
"2019年10月2日","56.296","55.618","56.586","55.232","9.28M","1.22%"
"2019年10月1日","55.619","55.976","57.356","54.982","10.97M","-0.61%"
"2019年9月30日","55.961","53.911","56.108","52.827","11.58M","3.81%"
"2019年9月29日","53.908","55.460","55.629","52.592","10.06M","-2.80%"
"2019年9月28日","55.459","55.836","56.059","54.016","10.71M","-0.67%"
"2019年9月27日","55.835","55.232","56.405","53.204","10.31M","1.10%"
"2019年9月26日","55.227","57.419","57.463","51.163","14.37M","-3.79%"
"2019年9月25日","57.402","55.236","58.046","53.928","18.23M","3.94%"
"2019年9月24日","55.225","66.684","67.528","55.191","20.53M","-17.15%"
"2019年9月23日","66.657","72.213","74.079","63.271","12.07M","-7.70%"
"2019年9月22日","72.217","73.176","73.192","71.283","7.49M","-1.31%"
"2019年9月21日","73.178","75.093","75.519","72.327","7.69M","-2.56%"
"2019年9月20日","75.097","76.592","76.941","73.123","9.22M","-1.98%"
"2019年9月19日","76.616","77.735","77.777","72.849","11.23M","-1.42%"
"2019年9月18日","77.723","74.087","79.936","74.028","11.05M","4.92%"
"2019年9月17日","74.076","72.582","77.207","72.195","9.52M","2.06%"
"2019年9月16日","72.581","70.065","73.420","69.614","8.31M","3.60%"
"2019年9月15日","70.060","70.491","71.165","69.671","6.29M","-0.61%"
